dataset,nvar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2020,1,17.47875387,26.805,22.311,31.993
Princeton,1,2020,2,0.386192985,27.451,22.7,32.889
Princeton,1,2020,3,42.63935731,27.742,22.936,32.869
Princeton,1,2020,4,111.3813631,25.976,21.878,30.342
Princeton,1,2020,5,102.2973577,25.295,21.817,29.309
Princeton,1,2020,6,19.78567295,24.266,20.426,28.958
Princeton,1,2020,7,42.4811374,23.838,20.045,28.154
Princeton,1,2020,8,37.51084978,23.61,19.915,27.786
Princeton,1,2020,9,45.69645702,23.667,19.355,28.492
Princeton,1,2020,10,15.13000653,24.882,20.235,29.899
Princeton,1,2020,11,14.30980905,26.424,21.504,31.639
Princeton,1,2020,12,55.89618556,26.685,22.494,31.406
Princeton,1,2021,1,20.2468359,26.805,22.311,31.993
Princeton,1,2021,2,0.447353744,27.451,22.7,32.889
Princeton,1,2021,3,49.3920835,27.742,22.936,32.869
Princeton,1,2021,4,129.0206497,25.976,21.878,30.342
Princeton,1,2021,5,118.4980251,25.295,21.817,29.309
Princeton,1,2021,6,22.91909803,24.266,20.426,28.958
Princeton,1,2021,7,49.20880655,23.838,20.045,28.154
Princeton,1,2021,8,43.4513825,23.61,19.915,27.786
Princeton,1,2021,9,52.93333114,23.667,19.355,28.492
Princeton,1,2021,10,17.52612124,24.882,20.235,29.899
Princeton,1,2021,11,16.57603041,26.424,21.504,31.639
Princeton,1,2021,12,64.74837423,26.685,22.494,31.406
Princeton,1,2022,1,2.102572767,27.043,22.147,32.636
Princeton,1,2022,2,72.18377344,27.579,22.761,32.75
Princeton,1,2022,3,18.60678959,27.4,22.311,32.888
Princeton,1,2022,4,95.33461861,26.704,22.294,31.422
Princeton,1,2022,5,27.27542102,25.924,22.236,30.285
Princeton,1,2022,6,34.96927031,24.333,20.451,28.971
Princeton,1,2022,7,112.9823334,23.524,19.97,27.676
Princeton,1,2022,8,28.03307161,23.395,19.724,27.595
Princeton,1,2022,9,212.1883617,23.805,19.917,28.025
Princeton,1,2022,10,108.2516371,24.891,20.881,29.172
Princeton,1,2022,11,212.927533,25.662,22.004,29.528
Princeton,1,2022,12,104.5557806,26.614,22.548,30.867
Princeton,1,2023,1,15.29797663,26.213,21.727,31.631
Princeton,1,2023,2,3.101226318,26.651,22.038,32.216
Princeton,1,2023,3,114.3156892,27.333,23.015,32.134
Princeton,1,2023,4,260.1183479,25.795,21.797,30.304
Princeton,1,2023,5,116.1994445,24.361,20.886,28.393
Princeton,1,2023,6,68.32945528,23.342,19.462,27.655
Princeton,1,2023,7,31.80814978,23.105,19.176,27.672
Princeton,1,2023,8,47.67878802,22.776,18.677,27.246
Princeton,1,2023,9,19.03063772,23.395,18.785,28.396
Princeton,1,2023,10,40.33779369,25.01,20.234,30.175
Princeton,1,2023,11,104.425974,25.882,22.411,29.443
Princeton,1,2023,12,58.14022297,25.48,21.339,29.908
Princeton,1,2024,1,0.249610449,26.723,22.06,32.19
Princeton,1,2024,2,38.29062205,26.609,21.797,32.213
Princeton,1,2024,3,7.058966113,27.771,22.606,33.323
Princeton,1,2024,4,148.8361755,26.295,21.938,30.953
Princeton,1,2024,5,146.2937782,25.124,21.594,29.303
Princeton,1,2024,6,68.94028088,24.004,20.303,28.261
Princeton,1,2024,7,38.00354302,23.396,19.844,27.529
Princeton,1,2024,8,124.2914482,23.167,19.398,27.483
Princeton,1,2024,9,174.6203215,23.505,19.181,28.263
Princeton,1,2024,10,173.7622624,24.682,20.488,29.14
Princeton,1,2024,11,221.1885654,25.762,21.642,29.89
Princeton,1,2024,12,8.917670408,24.138,20.074,28.729
Princeton,1,2025,1,51.87719559,26.052,21.581,31.194
Princeton,1,2025,2,5.651124822,26.946,22.174,32.565
Princeton,1,2025,3,34.55584715,27.462,22.801,32.426
Princeton,1,2025,4,128.9718262,26.305,22.317,30.715
Princeton,1,2025,5,135.2167342,24.461,20.658,28.951
Princeton,1,2025,6,37.67002978,23.633,19.758,28.16
Princeton,1,2025,7,12.69349936,22.196,18.242,26.839
Princeton,1,2025,8,24.12767785,22.704,18.698,27.336
Princeton,1,2025,9,26.63391247,22.696,17.949,27.918
Princeton,1,2025,10,29.85458939,24.181,19.382,29.268
Princeton,1,2025,11,2.710641628,25.781,20.714,31.173
Princeton,1,2025,12,198.9272034,25.323,21.119,30.044
Princeton,1,2026,1,18.26998152,26.805,22.311,31.993
Princeton,1,2026,2,0.403675156,27.451,22.7,32.889
Princeton,1,2026,3,44.56955433,27.742,22.936,32.869
Princeton,1,2026,4,116.4233709,25.976,21.878,30.342
Princeton,1,2026,5,106.9281511,25.295,21.817,29.309
Princeton,1,2026,6,20.68133013,24.266,20.426,28.958
Princeton,1,2026,7,44.40417212,23.838,20.045,28.154
Princeton,1,2026,8,39.20888969,23.61,19.915,27.786
Princeton,1,2026,9,47.76504272,23.667,19.355,28.492
Princeton,1,2026,10,15.81491117,24.882,20.235,29.899
Princeton,1,2026,11,14.95758501,26.424,21.504,31.639
Princeton,1,2026,12,58.42649224,26.685,22.494,31.406
Princeton,1,2027,1,9.678249754,26.014,21.649,31.06
Princeton,1,2027,2,64.74408741,26.551,22.032,31.833
Princeton,1,2027,3,91.31780971,27.142,22.39,32.176
Princeton,1,2027,4,18.1216718,27.095,22.991,32.033
Princeton,1,2027,5,71.62863535,25.224,21.622,29.7
Princeton,1,2027,6,46.75184242,23.976,20.064,28.529
Princeton,1,2027,7,53.35644495,23.758,19.999,28.063
Princeton,1,2027,8,63.57253504,23.067,19.36,27.211
Princeton,1,2027,9,22.73214264,23.896,19.492,28.66
Princeton,1,2027,10,72.82223822,25.472,20.858,30.313
Princeton,1,2027,11,176.9983625,26.515,22.194,31.076
Princeton,1,2027,12,11.58130332,26.485,22.235,31.175
Princeton,1,2028,1,1.92025372,26.842,22.069,32.346
Princeton,1,2028,2,34.06203248,27.451,22.834,33.031
Princeton,1,2028,3,17.345611,27.5,23.419,31.975
Princeton,1,2028,4,78.08997749,27.257,23.235,31.892
Princeton,1,2028,5,356.7177709,25.153,21.712,29.093
Princeton,1,2028,6,85.19593767,25.004,21.441,29.283
Princeton,1,2028,7,65.09047265,23.795,19.826,28.231
Princeton,1,2028,8,20.86539521,23.358,19.539,27.675
Princeton,1,2028,9,44.74599733,23.796,19.315,28.689
Princeton,1,2028,10,16.01777598,25.311,20.28,30.495
Princeton,1,2028,11,31.47581843,26.081,20.875,31.484
Princeton,1,2028,12,41.95754379,26.799,22.37,31.512
Princeton,1,2029,1,2.176594558,27.043,22.147,32.636
Princeton,1,2029,2,74.72502779,27.579,22.761,32.75
Princeton,1,2029,3,19.26184796,27.4,22.311,32.888
Princeton,1,2029,4,98.69090635,26.704,22.294,31.422
